NAME,HOUSENUM,STREETNAME,ADDRESS,ZIP,CITY
Victory Day Care Ctr,3440,WHITE PLAINS ROAD,3440 WHITE PLAINS ROAD,10467,Bronx
Susan E. Wagner Day School,4102,WHITE PLAINS ROAD,4102 WHITE PLAINS ROAD,10466,Bronx
Stepping Up Nursery School,2000,WILLIAMSBRIDGE ROAD,2000 WILLIAMSBRIDGE ROAD,10461,Bronx
Bayridge Montessori School,6301,12 AVENUE,6301 12 AVENUE,11219,Brooklyn
Little Treasures Dc,6803,20 AVENUE,6803 20 AVENUE,11204,Brooklyn
West Cop/Project Social Core Hs,1377,42 STREET,1377 42 STREET,11219,Brooklyn
Partners With Parents D.C.C.,1360,OGDEN AVENUE,1360 OGDEN AVENUE,10452,Bronx
Amalgamated Nursery School,3980,ORLOFF AVENUE,3980 ORLOFF AVENUE,10463,Bronx
Bronx House Jcc,990,PELHAM PARKWAY SOUTH,990 PELHAM PARKWAY SOUTH,10462,Bronx
Bronx Organization For Learning Disabled Of Nyc Inc.,1180,REV JAMES POLITE AVENUE,1180 REV JAMES POLITE AVENUE,10459,Bronx
Volunteers Of America,1166,RIVER AVENUE,1166 RIVER AVENUE,10452,Bronx
Mosholu Montefiore Community Center,3130,ROCHAMBEAU AVENUE,3130 ROCHAMBEAU AVENUE,10467,Bronx
East Side House Settlement Hs,201,ST ANN'S AVENUE,201 ST ANN'S AVENUE,10454,Bronx
Promesa Multicultural,1020,SUMMIT AVENUE,1020 SUMMIT AVENUE,10452,Bronx
Throggs Neck Ccc,461,SWINTON AVENUE,461 SWINTON AVENUE,10465,Bronx
Highbridge Advisory Ecc,1594,TOWNSEND AVENUE,1594 TOWNSEND AVENUE,10452,Bronx
Pius Xii University Heights Day Care,2167,UNIVERSITY AVENUE,2167 UNIVERSITY AVENUE,10453,Bronx
First Star Day Care Learning Center,145-88,GUY R BREWER BOULEVARD,145-88 GUY R BREWER BOULEVARD,11434,Jamaica
Early Sunrise Preschool&Kindergarten Ii,187-10,HILLSIDE AVENUE,187-10 HILLSIDE AVENUE,11432,Jamaica
Easy Learning Pre-School Ii,137-36,JAMAICA AVENUE,137-36 JAMAICA AVENUE,11435,Jamaica
Little Red Wagon,188-06,JAMAICA AVENUE,188-06 JAMAICA AVENUE,11423,Hollis
Hollis Community Service Center Inc.,193-25,JAMAICA AVENUE,193-25 JAMAICA AVENUE,11423,Hollis
Jen - Lyn's Day Care/Kindergarten,218-14,JAMAICA AVENUE,218-14 JAMAICA AVENUE,11428,Queens Village
Jamaica Kids Pre-School,1,JAMAICA CENTER PLAZA,1 JAMAICA CENTER PLAZA,11432,Jamaica
Montessori School Of Ny Inc.,55-30,JUNCTION BOULEVARD,55-30 JUNCTION BOULEVARD,11373,Elmhurst
Juliasa Nursery Sch &Kgn,224-11,LINDEN BOULEVARD,224-11 LINDEN BOULEVARD,11411,Cambria Heights
Samuel Field Ym-Ywha Nursery School,58-20,LITTLE NECK PARKWAY,58-20 LITTLE NECK PARKWAY,11362,Little Neck
Positive Beginnings Inc.,71-25,MAIN STREET,71-25 MAIN STREET,11367,Flushing
"All My Children Dc, Inc/Nursery",175-44,MAYFIELD ROAD,175-44 MAYFIELD ROAD,11432,Jamaica
Temple Israel Of Jamaica Pre-Sch,188-15,MCLAUGHLIN AVENUE,188-15 MCLAUGHLIN AVENUE,11423,Hollis
Tracy's Day Care Center,228-01,MERRICK BOULEVARD,228-01 MERRICK BOULEVARD,11413,Springfield Gardens
Fed Kids Ccc I/T,26,FEDERAL PLAZA,26 FEDERAL PLAZA,10007,New York
Riverdale Presbyterian Church Nursery School,4765,HENRY HUDSON PARKWAY,4765 HENRY HUDSON PARKWAY,10471,Bronx
The Browning School,52,EAST 62 STREET,52 EAST 62 STREET,10021,New York
Episcopal School In The City Of Ny,35,EAST 69 STREET,35 EAST 69 STREET,10021,New York
Bright Horizon Children Center At New York Hospital,435,EAST 70 STREET,435 EAST 70 STREET,10021,New York
The Birch Wathen Lenox School,210,EAST 77 STREET,210 EAST 77 STREET,10021,New York
The Lighthouse Cdc,111,EAST 59 STREET,111 EAST 59 STREET,10022,New York
Mott Haven Academy /Eleanor James Pre-Sch,1925,GRAND CONCOURSE,1925 GRAND CONCOURSE,10453,Bronx
Addie Mae Collins Community Service Hs,345,EAST 101 STREET,345 EAST 101 STREET,10029,New York
Boys Harbor I/T Program,1,EAST 104 STREET,1 EAST 104 STREET,10029,New York
Stepping Stone Pre-School,114-28,FRANCIS LEWIS BOULEVARD,114-28 FRANCIS LEWIS BOULEVARD,11411,Cambria Heights
Stepping Stone Pre-School & Kindergarten Iv,114-36,FRANCIS LEWIS BOULEVARD,114-36 FRANCIS LEWIS BOULEVARD,11411,Cambria Heights
The Learning Tree,86-28,FRANCIS LEWIS BOULEVARD,86-28 FRANCIS LEWIS BOULEVARD,11427,Queens Village
The Children's Storefront,57,EAST 129 STREET,57 EAST 129 STREET,10035,New York
Bank Street Hs,113,EAST 13 STREET,113 EAST 13 STREET,10003,New York
"Beginnings, A Toddler Program Ltd",130,EAST 16 STREET,130 EAST 16 STREET,10003,New York
Vets Kids Inc.,423,EAST 23 STREET,423 EAST 23 STREET,10010,New York
Love Peace & Joy,164-04,GOETHALS AVENUE,164-04 GOETHALS AVENUE,11432,Jamaica
Kids Circle Day Care Center,164-04,GOETHALS AVENUE,164-04 GOETHALS AVENUE,11432,Jamaica
Iras's Parkway Toddlers Program,141-20,GRAND CENTRAL PARKWAY,141-20 GRAND CENTRAL PARKWAY,11435,Jamaica
I.A.H.D. St. Mary's School,2213,EAST TREMONT AVENUE,2213 EAST TREMONT AVENUE,10462,Bronx
Little Stars School Inc.,4063,EDSON AVENUE,4063 EDSON AVENUE,10466,Bronx
Mid Bronx Ccrp Hs,1125,GRAND CONCOURSE,1125 GRAND CONCOURSE,10452,Bronx
Briarwood Ecc,139-76,85 DRIVE,139-76 85 DRIVE,11435,Jamaica
Clifford Glover Dcc/Starlight Dcc,165-15,ARCHER AVENUE,165-15 ARCHER AVENUE,11433,Jamaica
The Corner School,150-03,BAYSIDE AVENUE,150-03 BAYSIDE AVENUE,11354,Flushing
Red Apple Child Development Center,63-47,BOOTH STREET,63-47 BOOTH STREET,11374,Rego Park
Children's Big Apple Nursery&Kindergarten Ii,41-26,CASE STREET,41-26 CASE STREET,11373,Elmhurst
Precious Moments Nursery School I/T,2-Nov,CLINTONVILLE STREET,43771 CLINTONVILLE STREET,11357,Whitestone
Pee Wee Folks,Dec-45,CLINTONVILLE STREET,16772 CLINTONVILLE STREET,11357,Whitestone
Red Apple Child Development Center,42-31,COLDEN STREET,42-31 COLDEN STREET,11355,Flushing
Susan E. Wagner Hs,1150,EAST 229 STREET,1150 EAST 229 STREET,10466,Bronx
Yeled V' Yalda Hs,407,EAST 53 STREET,407 EAST 53 STREET,11203,Brooklyn
Gayle Academy For Children Inc.,409,EAST 95 STREET,409 EAST 95 STREET,11212,Brooklyn
Paradise Dcc,528,EAST 95 STREET,528 EAST 95 STREET,11212,Brooklyn
Union Temple Preschool,17,EASTERN PARKWAY,17 EASTERN PARKWAY,11238,Brooklyn
Educational Institute Oholei Torah,667,EASTERN PARKWAY,667 EASTERN PARKWAY,11213,Brooklyn
Fiernande Valme Ministries,1120,FLATBUSH AVENUE,1120 FLATBUSH AVENUE,11226,Brooklyn
Rainbow Dcc,3844,FLATLANDS AVENUE,3844 FLATLANDS AVENUE,11234,Brooklyn
United Talmudical Academy Hs,5411,FORT HAMILTON PARKWAY,5411 FORT HAMILTON PARKWAY,11219,Brooklyn
"Initial Steps Child Development Center, Inc.",3003,GLENWOOD ROAD,3003 GLENWOOD ROAD,11210,Brooklyn
Hanover Place Child Care Center Llc,15,HANOVER PLACE,15 HANOVER PLACE,11201,Brooklyn
92nd St. Y Nursery School,1395,LEXINGTON AVENUE,1395 LEXINGTON AVENUE,10128,New York
Children First At 575 Lexington Ave,575,LEXINGTON AVENUE,575 LEXINGTON AVENUE,10022,New York
Chung Pak Day Care Ctr,125,WALKER STREET,125 WALKER STREET,10013,New York
Central Queens Ym&Ywha,67-09,108 STREET,67-09 108 STREET,11375,Forest Hills
St. Paul's Nursery School,89-19,114 STREET,89-19 114 STREET,11418,Richmond Hill
Joseph Di Marco Ccc,36-49,11 STREET,36-49 11 STREET,11106,Astoria
Bright Beginning I/T,86-25,162 STREET,86-25 162 STREET,11432,Jamaica
Little Friends House Ii,75-41,164 STREET,75-41 164 STREET,11366,Fresh Meadows
Ideal Montessori,87-41,165 STREET,87-41 165 STREET,11432,Jamaica
Bessie & Nora's Place,92-12,168 STREET,92-12 168 STREET,11433,Jamaica
Blanche Comm Prog. Dcc#1,109-60,202 STREET,109-60 202 STREET,11412,Saint Albans
"Bedford Stuyvesant Ecdc, Inc./Upk",506,MCDONOUGH STREET,506 MCDONOUGH STREET,11233,Brooklyn
Ohr Hayeled,5316,NEW UTRECHT AVENUE,5316 NEW UTRECHT AVENUE,11219,Brooklyn
Happy Child Day Care I/T,353,OCEAN AVENUE,353 OCEAN AVENUE,11226,Brooklyn
Rat's Playhouse Wkshp Inc.,835,OCEAN AVENUE,835 OCEAN AVENUE,11226,Brooklyn
Keshet Learning Center,1454,OCEAN PARKWAY,1454 OCEAN PARKWAY,11230,Brooklyn
Sephardic Community Early Childhood,1901,OCEAN PARKWAY,1901 OCEAN PARKWAY,11223,Brooklyn
Stanley S. Lamm Institute Early Childhood Center,147,PRINCE STREET,147 PRINCE STREET,11201,Brooklyn
Garden Of Learning,834,PROSPECT PLACE,834 PROSPECT PLACE,11216,Brooklyn
Our Children's Learning Center,5735,KINGS HIGHWAY,5735 KINGS HIGHWAY,11203,Brooklyn
Magic Kingdom Nur Sch,275,KINGSTON AVENUE,275 KINGSTON AVENUE,11213,Brooklyn
Cornerstone Day Care Ctr,289,LEWIS AVENUE,289 LEWIS AVENUE,11221,Brooklyn
Vernon Avenue Children's School Llc/Metropolitan Child Svcs,75,LEWIS AVENUE,75 LEWIS AVENUE,11206,Brooklyn
Chelsea Day School,345,WEST 14 STREET,345 WEST 14 STREET,10014,New York
Hacer Parents In Action,611,WEST 177 STREET,611 WEST 177 STREET,10033,New York
Mcburney Ymca Earlychildhood Ecc,122,WEST 17 STREET,122 WEST 17 STREET,10011,New York
Plaza Head Start,410,WEST 40 STREET,410 WEST 40 STREET,10018,New York
The Calhoun Lower School,160,WEST 74 STREET,160 WEST 74 STREET,10023,New York
Labor & Industry For Education Head Start,671,LOUISIANA AVENUE,671 LOUISIANA AVENUE,11239,Brooklyn
West Cop/Project Social,40,LYNCH STREET,40 LYNCH STREET,11206,Brooklyn
Yeled V'Yalda Early Head Start,571,MCDONALD AVENUE,571 MCDONALD AVENUE,11218,Brooklyn
The Children's Center At N.Y. Life,51,MADISON AVENUE,51 MADISON AVENUE,10010,New York
Hamilton Madison House Hs,77,MARKET STREET,77 MARKET STREET,10002,New York
The Childrens Center At 200 Park I/T,200,PARK AVENUE,200 PARK AVENUE,10017,New York
The Citigroup Children's Center At 399 Park I/T,399,PARK AVENUE,399 PARK AVENUE,10022,New York
J.P. Morgan Chase Back-Up Ccc,20,PINE STREET,20 PINE STREET,10005,New York
Finest Care Ccc,1,POLICE PLAZA,1 POLICE PLAZA,10038,New York
Roosevelt Island Day Nursery,4,RIVER ROAD,4 RIVER ROAD,10044,New York
Dewitt Reformed Church Hs,280,RIVINGTON STREET,280 RIVINGTON STREET,10002,New York
Battery Park City Day Nursery,215,SOUTH END AVENUE,215 SOUTH END AVENUE,10280,New York
Battery Park City Day Nursery,215,SOUTH END AVENUE,215 SOUTH END AVENUE,10280,New York
Puerto Rican Council Day Care,180,SUFFOLK STREET,180 SUFFOLK STREET,10002,New York
Yaldaynu Pre-School,251,WEST 100 STREET,251 WEST 100 STREET,10025,New York
Grosvenor Day Care Ctr,176,WEST 105 STREET,176 WEST 105 STREET,10025,New York
The Children's Aid Society (Milbank),17,WEST 118 STREET,17 WEST 118 STREET,10026,New York
The Faimly Life Center,425,HOWARD AVENUE,425 HOWARD AVENUE,11233,Brooklyn
"Faith, Hope & Charity",382,SUTTER AVENUE,382 SUTTER AVENUE,11212,Brooklyn
Brooklyn Community Dcc,266,THROOP AVENUE,266 THROOP AVENUE,11206,Brooklyn
"Kingdom Ministries, Inc. M.A.C.A.D.E.M.Y.",1313,UNION STREET,1313 UNION STREET,11225,Brooklyn
Bffy St. Joseph Headstart,300,VERNON AVENUE,300 VERNON AVENUE,11206,Brooklyn
"Early Intervention Center Of Brooklyn, Inc.",386,VERNON AVENUE,386 VERNON AVENUE,11206,Brooklyn
Pal Western Qns Nur Sch,26-Oct,41 AVENUE,43764 41 AVENUE,11101,Long Island City
Red Apple Cdc #6,133-32,41 ROAD,133-32 41 ROAD,11355,Flushing
Mi Nuevo Mundo #2,31-05,51 STREET,31-05 51 STREET,11377,Woodside
Forest Hills Community House Ecc,110-01,62 DRIVE,110-01 62 DRIVE,11375,Forest Hills
Catalpa Ymca Early Chilhood Program,69-02,64 STREET,69-02 64 STREET,11385,Ridgewood
Tally -Ho Nursery,89-35,70 DRIVE,89-35 70 DRIVE,11375,Forest Hills
Lexington School For The Deaf,25-26,75 STREET,25-26 75 STREET,11370,East Elmhurst
Rainbowland Nursery School,33-11,77 STREET,33-11 77 STREET,11372,Jackson Heights
Special Kids Intervention Program/Tipse,156-45,84 STREET,156-45 84 STREET,11414,Howard Beach
Pal Miccio Hs,120,WEST 9 STREET,120 WEST 9 STREET,11231,Brooklyn
St. Lukes,259,WASHINGTON AVENUE,259 WASHINGTON AVENUE,11205,Brooklyn
Educare Child Center Inc.,720,WASHINGTON AVENUE,720 WASHINGTON AVENUE,11238,Brooklyn
Bbcs Waverly Ccc,143,WAVERLY AVENUE,143 WAVERLY AVENUE,11205,Brooklyn
Escuela Hispana Montessori Inc.,185,AVENUE D,185 AVENUE D,10009,New York
Lipton Corporate Cc Pre-Sch,1114,AVENUE OF AMERICAS,1114 AVENUE OF AMERICAS,10036,New York
Lipton Corporate Cc,1114,AVENUE OF THE AMERICAS,1114 AVENUE OF THE AMERICAS,10036,New York
Goose Bay Ii,4180,HUTCHINSON RIVER PARKWAY,4180 HUTCHINSON RIVER PARKWAY,10475,Bronx
Union Theological Seminary,3041,BROADWAY,3041 BROADWAY,10027,New York
Giant Steps To A Child's Day,75,VANDERBILT AVENUE,75 VANDERBILT AVENUE,10304,Staten Island
Winifred Wheeler Dc,200,ALEXANDER AVENUE,200 ALEXANDER AVENUE,10454,Bronx
Little Stars Too,1083,ALLERTON AVENUE,1083 ALLERTON AVENUE,10469,Bronx
Sharon Baptist Hs Delegate,1925,BATHGATE AVENUE,1925 BATHGATE AVENUE,10457,Bronx
Redeemer Lutheran Nursery School,92-10,217 STREET,92-10 217 STREET,11428,Queens Village
Laurelton Dcc Inc.,141-19,224 STREET,141-19 224 STREET,11413,Springfield Gardens
Queens Community Ecc,146-05,228 STREET,146-05 228 STREET,11413,Springfield Gardens
All Children's Child Care,35-01,24 STREET,35-01 24 STREET,11106,Astoria
Adventureland All Children Dc,31-30,33 STREET,31-30 33 STREET,11106,Astoria
Tiny Town Pre Sch Annex,430,ROGERS AVENUE,430 ROGERS AVENUE,11225,Brooklyn
First Impressions Nursery School,782,ROGERS AVENUE,782 ROGERS AVENUE,11226,Brooklyn
Faith Hope & Charity Dcc #1,774,SARATOGA AVENUE,774 SARATOGA AVENUE,11212,Brooklyn
Gan Jewish Day Care,9502,SEAVIEW AVENUE,9502 SEAVIEW AVENUE,11236,Brooklyn
Bedford Central Presbyterian C,1200,DEAN STREET,1200 DEAN STREET,11216,Brooklyn
"Williamsburg ""Y"" Head Start",64,DIVISION AVENUE,64 DIVISION AVENUE,11211,Brooklyn
Charisma Christian Academy,921,EAST 107 STREET,921 EAST 107 STREET,11236,Brooklyn
Children's Heimeshe Workshop,1524,EAST 17 STREET,1524 EAST 17 STREET,11230,Brooklyn
East Tremont Child Care&Development Center,1811,CROTONA AVENUE,1811 CROTONA AVENUE,10457,Bronx
Help Usa Crotona,785,CROTONA PARK NORTH,785 CROTONA PARK NORTH,10460,Bronx
Marcus Garvey Cdc,331,EAST 150 STREET,331 EAST 150 STREET,10451,Bronx
Salvation Army Bronx Dcc,425,EAST 159 STREET,425 EAST 159 STREET,10451,Bronx
Citizens Care Day Care Center Iii,3240,BROADWAY,3240 BROADWAY,10027,New York
Uptown Nursery & Kindergarten,1,CABRINI BOULEVARD,1 CABRINI BOULEVARD,10033,New York
Bmcc Early Childhood Center,199,CHAMBERS STREET,199 CHAMBERS STREET,10013,New York
Golden Daisies Prep,2307,AVENUE D,2307 AVENUE D,11226,Brooklyn
Ebenezer Day Care Center I/T,4302,AVENUE D,4302 AVENUE D,11203,Brooklyn
Kid's Kingdom,4321,AVENUE D,4321 AVENUE D,11203,Brooklyn
Hebrew Institute For The Deaf&Exceptional Children,1401,AVENUE I,1401 AVENUE I,11230,Brooklyn
"Children's Kingdom, Inc.",3315,AVENUE I,3315 AVENUE I,11210,Brooklyn
R.E. Happy Home Day Care,9117,AVENUE L,9117 AVENUE L,11236,Brooklyn
Learning Adventure Ii,1529,BATH AVENUE,1529 BATH AVENUE,11228,Brooklyn
Superkid Day Care Center,115,BAY RIDGE AVENUE,115 BAY RIDGE AVENUE,11220,Brooklyn
Bay Ridge Avenue Ccc Inc.,1206,BAY RIDGE AVENUE,1206 BAY RIDGE AVENUE,11219,Brooklyn
Hawthorne Corners Dcc,1950,BEDFORD AVENUE,1950 BEDFORD AVENUE,11225,Brooklyn
Staten Island Montessori School,500,BUTLER BOULEVARD,500 BUTLER BOULEVARD,10309,Staten Island
Castle Day Care I/T,1141,CASTLETON AVENUE,1141 CASTLETON AVENUE,10310,Staten Island
Castle Day Care,1141,CASTLETON AVENUE,1141 CASTLETON AVENUE,10310,Staten Island
The Child Study Center Of Ny Inc./Best Friends Of Dc,285,CLOVE ROAD,285 CLOVE ROAD,10310,Staten Island
St. Ann's Church Pre-Sch,125,CROMWELL AVENUE,125 CROMWELL AVENUE,10304,Staten Island
Edwin Markham Ccc,195,GORDON STREET,195 GORDON STREET,10304,Staten Island
Edwin Markham Child Care Center,195,GORDON STREET,195 GORDON STREET,10304,Staten Island
Port Richmond Day Nursery,166,LOCKMAN AVENUE,166 LOCKMAN AVENUE,10303,Staten Island
Big Bird's Playhouse,1859,RICHMOND AVENUE,1859 RICHMOND AVENUE,10314,Staten Island
Excel Pre-School,2144,RICHMOND AVENUE,2144 RICHMOND AVENUE,10314,Staten Island
Great Beginnings I/T,2221,RICHMOND AVENUE,2221 RICHMOND AVENUE,10314,Staten Island
Children's Playhouse Inc.,950,ROCKLAND AVENUE,950 ROCKLAND AVENUE,10314,Staten Island
Staten Island Preschool,145,ROSS AVENUE,145 ROSS AVENUE,10306,Staten Island
Busy Beach Day Care Center,777,SEAVIEW AVENUE,777 SEAVIEW AVENUE,10305,Staten Island
Joan Ann Kennedy Memorial Pre-School,26,SHARPE AVENUE,26 SHARPE AVENUE,10302,Staten Island
Children's Life Center-St. Georgia I/T,120,STUYVESANT PLACE,120 STUYVESANT PLACE,10301,Staten Island
Children's Life Center - St. George,120,STUYVESANT PLACE,120 STUYVESANT PLACE,10301,Staten Island
Castleton Hill Moravian Pre-School,1657,VICTORY BOULEVARD,1657 VICTORY BOULEVARD,10314,Staten Island
Children's Ctr/College Of Si,2800,VICTORY BOULEVARD,2800 VICTORY BOULEVARD,10314,Staten Island
American-European Child Care Dcc,2150,BENSON AVENUE,2150 BENSON AVENUE,11214,Brooklyn
Boratino International Dc,2962,BRIGHTON 1 STREET,2962 BRIGHTON 1 STREET,11235,Brooklyn
Hospital Clinic/Ace Integration Hs,1419,BROADWAY,1419 BROADWAY,11221,Brooklyn
Bushwick United Head Start,136,BUSHWICK AVENUE,136 BUSHWICK AVENUE,11206,Brooklyn
Magical Years Early Childhood Center,230,60 STREET,230 60 STREET,11220,Brooklyn
Flushing Ymca Ecc,138-46,NORTHERN BOULEVARD,138-46 NORTHERN BOULEVARD,11354,Flushing
Sheldon R. Weaver Dcc Inc.,Dec-79,REDFERN AVENUE,29190 REDFERN AVENUE,11691,Far Rockaway
Easy Learning Pre-School,124-04,ROCKAWAY BOULEVARD,124-04 ROCKAWAY BOULEVARD,11420,South Ozone Park
Saratoga Family Inn Day Care,175-15,ROCKAWAY BOULEVARD,175-15 ROCKAWAY BOULEVARD,11434,Jamaica
La Guardia Community College,31-10,THOMPSON AVENUE,31-10 THOMPSON AVENUE,11101,Long Island City
Tutor Time Learning Center I/T,25-56,ULMER STREET,25-56 ULMER STREET,11354,Flushing
Macedonia Child Development Center,37-22,UNION STREET,37-22 UNION STREET,11354,Flushing
"Judi's Nursery, Inc.",138-15,UNION TURNPIKE,138-15 UNION TURNPIKE,11367,Flushing
North Side School,263-10,UNION TURNPIKE,263-10 UNION TURNPIKE,11004,Glen Oaks
Rego Park Day School Ii,63-44,WETHEROLE STREET,63-44 WETHEROLE STREET,11374,Rego Park
The Playgroup Experince,90,BOULDER STREET,90 BOULDER STREET,10312,Staten Island
Family Head Start,383,GRAND STREET,383 GRAND STREET,10002,New York
East River Child Development Center,570,GRAND STREET,570 GRAND STREET,10002,New York
Children First At Solman Smith Barney,388,GREENWICH STREET,388 GREENWICH STREET,10013,New York
Prince Hall Colonial Park Dcc,159-30,HARLEM RIVER DRIVE,159-30 HARLEM RIVER DRIVE,10039,New York
Grace Temple Dcc,325,LENOX AVENUE,325 LENOX AVENUE,10027,New York
Ahrc Bronx Blue Feather,2280,WALLACE AVENUE,2280 WALLACE AVENUE,10467,Bronx
God's Kids Under Konstruction,4262,WHITE PLAINS ROAD,4262 WHITE PLAINS ROAD,10466,Bronx
C.C.B. School,6808,11 AVENUE,6808 11 AVENUE,11219,Brooklyn
Shirley Chisholm Dcc Site Iib,333,14 STREET,333 14 STREET,11215,Brooklyn
Yeled V' Yalda Hs,5110,18 AVENUE,5110 18 AVENUE,11204,Brooklyn
Tutor Time Child Care Learning Center,7817,3 AVENUE,7817 3 AVENUE,11209,Brooklyn
Shira Head Start Beth Hillel,1364,42 STREET,1364 42 STREET,11219,Brooklyn
Action Nursery,1019,46 STREET,1019 46 STREET,11219,Brooklyn
Machzik Bracha Learning Center,1177,48 STREET,1177 48 STREET,11219,Brooklyn
Sunset Park Children's School,4616,4 AVENUE,4616 4 AVENUE,11220,Brooklyn
Yeled V' Yalda Head Start,1353,50 STREET,1353 50 STREET,11219,Brooklyn
Riverdale Country School,4900,PALISADES AVENUE,4900 PALISADES AVENUE,10471,Bronx
Little Peoples Day Care,1600,SEDGWICK AVENUE,1600 SEDGWICK AVENUE,10453,Bronx
The Bronx Early Childhood Center,1515,SOUTHERN BOULEVARD,1515 SOUTHERN BOULEVARD,10460,Bronx
Bx Rehab Campus Of Ucp/Nyc,1770,STILLWELL AVENUE,1770 STILLWELL AVENUE,10469,Bronx
Bronx Rehab Campus Of Ucp,1824,STILLWELL AVENUE,1824 STILLWELL AVENUE,10469,Bronx
Rainbow Early Head Start,2640,THIRD AVENUE,2640 THIRD AVENUE,10454,Bronx
Rainbow Day Care/Universal Pre-K,2640,THIRD AVENUE,2640 THIRD AVENUE,10454,Bronx
Horace Mann School,4440,TIBBETT AVENUE,4440 TIBBETT AVENUE,10471,Bronx
Little Angels/Holy Spiurit Hs&Upk,1960,UNIVERSITY AVENUE,1960 UNIVERSITY AVENUE,10453,Bronx
Community Parents/Family Hs,10-Jul,HARTMAN LANE,43656 HARTMAN LANE,11691,Far Rockaway
Early Sunrise Preschool&Kindergarten,187-08,HILLSIDE AVENUE,187-08 HILLSIDE AVENUE,11432,Jamaica
Cross Island Ymca Ecc,238-10,HILLSIDE AVENUE,238-10 HILLSIDE AVENUE,11427,Queens Village
A To Z Learning Center,123-21,JAMAICA AVENUE,123-21 JAMAICA AVENUE,11418,Richmond Hill
"All My Children Day Care Inc, Nursery",169-07,JEWEL AVENUE,169-07 JEWEL AVENUE,11365,Fresh Meadows
J.F.Kids Port/Bright Horizons Family,,JFK AIRPORT, JFK AIRPORT,11430,Jamaica
Richmond Hill Dcc,129-15,LIBERTY AVENUE,129-15 LIBERTY AVENUE,11419,South Richmond Hill
Quick Start Hs,188-33,LINDEN BOULEVARD,188-33 LINDEN BOULEVARD,11412,Saint Albans
